"","PMID","ShortAffil","NAuth","lat","long","country"
"1","27515025","bioprocessing technology institute (a-star), 20 biopolis way, #06-01 centros, singapore, 138668, singapore",10,1.3040064,103.7919232,"Singapore"
"2","27515025","bioprocessing technology institute (a-star), 20 biopolis way, #06-01 centros, singapore, 138668, singapore",10,1.3040064,103.7919232,"Singapore"
"3","27515025","bioprocessing technology institute (a-star), 20 biopolis way, #06-01 centros, singapore, 138668, singapore",10,1.3040064,103.7919232,"Singapore"
"4","27515025","bioprocessing technology institute (a-star), 20 biopolis way, #06-01 centros, singapore, 138668, singapore",10,1.3040064,103.7919232,"Singapore"
"5","27515025","bioprocessing technology institute (a-star), 20 biopolis way, #06-01 centros, singapore, 138668, singapore",10,1.3040064,103.7919232,"Singapore"
"6","27515025","institute of medical biology (a-star), 8a biomedical grove, #06-06, singapore, 138648, singapore",10,1.3022425,103.7933719,"Singapore"
"7","27515025","institute of medical biology (a-star), 8a biomedical grove, #06-06, singapore, 138648, singapore",10,1.3022425,103.7933719,"Singapore"
"8","27515025","institute of medical biology (a-star), 8a biomedical grove, #06-06, singapore, 138648, singapore",10,1.3022425,103.7933719,"Singapore"
"9","27515025","university of washington, seattle, wa, usa",10,47.6553351,-122.3035199,"United States"
"10","27515025","university of washington, seattle, wa, usa",10,47.6553351,-122.3035199,"United States"
"11","26642939","university of washington, seattle, wa, usa",6,47.6553351,-122.3035199,"United States"
"12","26642939","university of washington, seattle, wa, usa",6,47.6553351,-122.3035199,"United States"
"13","26642939","university of washington, seattle, wa, usa",6,47.6553351,-122.3035199,"United States"
"14","26642939","university of washington, seattle, wa, usa",6,47.6553351,-122.3035199,"United States"
"15","26642939","university of washington, seattle, wa, usa",6,47.6553351,-122.3035199,"United States"
"16","26642939","university of washington, seattle, wa, usa",6,47.6553351,-122.3035199,"United States"
"17","26642939","university of washington, seattle, wa, usa",6,47.6553351,-122.3035199,"United States"
"18","26642939","university of washington, seattle, wa, usa",6,47.6553351,-122.3035199,"United States"
"19","25257949","hannover medical school, hannover, germany",7,52.384053,9.805953,"Germany"
"20","25257949","hannover medical school, hannover, germany",7,52.384053,9.805953,"Germany"
"21","25257949","hannover medical school, hannover, germany",7,52.384053,9.805953,"Germany"
"22","25257949","hannover medical school, hannover, germany",7,52.384053,9.805953,"Germany"
"23","26784907","hannover medical school, hannover, germany",20,52.384053,9.805953,"Germany"
"24","25257949","institute of pathology, hannover medical school, hannover, germany",7,52.384053,9.805953,"Germany"
"25","25257949","institute of pathology, hannover medical school, hannover, germany",7,52.384053,9.805953,"Germany"
"26","25257949","institute of pathology, hannover medical school, hannover, germany",7,52.384053,9.805953,"Germany"
"27","26625261","laboratoire handicap & système nerveux, university of bordeaux, bordeaux, france",5,44.8086048,-0.5935827,"France"
"28","26625261","laboratoire handicap & système nerveux, university of bordeaux, bordeaux, france",5,44.8086048,-0.5935827,"France"
"29","26625261","project-team potioc, inria bordeaux sud-ouest/labri/cnrs, talence, france",5,44.8056407,-0.601821,"France"
"30","26625261","project-team potioc, inria bordeaux sud-ouest/labri/cnrs, talence, france",5,44.8056407,-0.601821,"France"
"31","26625261","project-team potioc, inria bordeaux sud-ouest/labri/cnrs, talence, france",5,44.8056407,-0.601821,"France"
"32","26625261","interact lab, university of sussex, brighton, united kingdom",5,50.8670895,-0.087914,"United Kingdom"
"33","25870929","optimisation and logistics, university of adelaide, adelaide, australia",3,-34.920603,138.6062277,"Australia"
"34","25870929","optimisation and logistics, university of adelaide, adelaide, australia",3,-34.920603,138.6062277,"Australia"
"35","25870929","diegm, università degli studi di udine, udine, italy",3,46.0810723,13.2119474,"Italy"
"36","26784907","hepatology and endocrinology, hannover medical school",20,52.384053,9.805953,"Germany"
"37","26784907","and †mosaiques diagnostics gmbh, hannover, germany",20,52.41999,9.82772,"Germany"
"38","26784907","institute of cardiovascular and medical sciences, university of glasgow, glasgow, united kingdom",20,55.8721211,-4.2882005,"United Kingdom"
"39","26784907","institut national de la santé et de la recherche médicale (inserm), u1048, institute of cardiovascular and metabolic disease",20,32.7500894,-97.3688754,"United States"
"40","26784907","and ∥université toulouse iii paul-sabatier, toulouse, france",20,43.5619687,1.4700537,"France"
"41","26784907","university of leipzig, leipzig",20,51.3385738,12.3784615,"Germany"
